"longitude","latitude","presence","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
-127.70833333333333,50.875,true,8.268444,6.2743874,36.37636,418.55487,17.938234,0.6897059,17.248528,3.883088,13.301226,13.5924015,3.3786764,2280.0,323.0,70.0,48.84567,926.0,255.0,309.0,815.0
-127.20833333333333,50.375,false,6.8566666,6.8986664,37.219677,439.5758,17.883,-0.652,18.535,2.4595,12.3595,12.652166,2.1518333,2764.0,415.0,74.0,51.96819,1160.0,285.0,313.0,1008.0
-127.125,49.875,false,8.648864,6.32702,37.869167,389.40903,18.615152,1.9075757,16.707577,4.92399,13.507323,13.867425,4.57601,3425.0,537.0,78.0,56.299465,1500.0,317.0,343.0,1287.0
-127.04166666666667,50.791666666666664,false,8.658333,6.3680553,37.551186,403.38342,18.425,1.4666667,16.958332,6.3458333,12.118055,13.724999,3.9666667,1790.0,260.0,59.0,50.344345,743.0,213.0,252.0,640.0
-126.54166666666667,50.125,false,6.638708,7.86475,38.600002,464.97028,18.907999,-1.467,20.375,1.9745,12.503,12.746,1.6405001,2754.0,444.0,71.0,56.540485,1210.0,278.0,290.0,1024.0
-126.29166666666667,50.625,false,8.203931,7.4317613,38.049007,449.14084,19.728302,0.19622642,19.532076,3.522956,13.816038,13.864466,3.0380504,2128.0,335.0,65.0,53.040237,900.0,247.0,261.0,753.0
-126.20833333333333,49.291666666666664,false,8.932384,7.253655,40.341335,403.42056,19.366667,1.3859649,17.980701,4.919298,13.880409,14.229825,4.4842105,3158.0,472.0,73.0,54.918854,1339.0,286.0,298.0,1193.0
-126.125,49.625,false,7.023958,8.401092,39.824585,475.51028,19.795238,-1.3,21.095238,2.2494047,13.010119,13.282937,1.8708333,2820.0,458.0,64.0,58.764717,1246.0,251.0,255.0,1079.0
-126.04166666666667,49.375,false,8.516079,8.002671,40.845985,433.77026,20.070513,0.47820514,19.592308,4.1517096,13.904273,14.205983,3.760043,3028.0,475.0,67.0,57.807377,1319.0,263.0,267.0,1161.0
-125.875,50.208333333333336,false,7.0744586,8.506417,37.702408,520.7335,20.521,-2.041,22.562,1.5616667,13.612833,13.612833,1.092,2084.0,342.0,55.0,57.386208,912.0,206.0,206.0,775.0
-125.79166666666667,50.125,false,6.878875,8.737083,38.0983,528.03845,20.559,-2.374,22.933,1.3093333,13.511167,13.531834,0.857,1990.0,325.0,53.0,57.44408,870.0,194.0,203.0,745.0
-125.79166666666667,50.791666666666664,false,4.491,8.839,36.580723,556.3568,18.579,-5.584,24.163,1.085,11.593166,11.593166,-1.821,1543.0,228.0,59.0,45.708508,615.0,200.0,200.0,513.0
-125.79166666666667,51.041666666666664,false,3.0592084,9.365916,36.4759,588.9288,17.734,-7.943,25.676998,-0.6093333,10.465667,10.465667,-3.7253332,1354.0,197.0,59.0,43.438553,536.0,192.0,192.0,440.0
-125.70833333333333,49.125,false,9.315994,7.737097,40.460526,433.2004,20.156452,1.0338709,19.122581,4.879839,14.622581,14.90457,4.431452,3181.0,467.0,70.0,55.982807,1346.0,275.0,282.0,1225.0
-125.375,49.291666666666664,true,6.979375,8.56825,38.483044,509.97568,20.263,-2.002,22.265001,1.7635,13.6035,13.6035,1.3225,2509.0,414.0,49.0,62.16762,1139.0,191.0,191.0,1005.0
-125.20833333333333,50.958333333333336,false,-0.27945834,10.50475,39.153,576.5349,14.838,-11.992,26.83,-3.776,7.1266665,7.1266665,-6.7378335,1141.0,157.0,61.0,37.032505,427.0,187.0,187.0,365.0
-125.125,50.125,false,9.418959,6.9162498,33.55774,501.2935,21.3,0.69,20.609999,4.119167,15.6175,15.791666,3.6833332,1476.0,231.0,45.0,53.23358,639.0,164.0,165.0,542.0
-124.875,50.875,false,5.4314237,9.163195,34.772182,627.9395,20.30625,-6.045833,26.352083,1.2444444,13.046875,13.117014,-2.0003471,1098.0,158.0,51.0,41.79008,430.0,157.0,167.0,347.0
-124.70833333333333,48.125,true,9.719326,8.128015,45.799866,369.1509,19.870213,2.1234043,17.746809,6.0333333,14.128723,14.537234,5.604255,2459.0,366.0,57.0,56.739788,1061.0,208.0,232.0,995.0
-124.70833333333333,49.375,true,8.3315,8.686,37.835957,533.3122,22.147,-0.81,22.956999,2.7195,15.0455,15.045667,2.2451668,1616.0,268.0,32.0,63.696404,757.0,127.0,132.0,667.0
-124.54166666666667,42.791666666666664,true,11.716288,9.008839,54.072697,294.97516,20.739393,4.078788,16.660606,8.884849,15.105556,15.619192,8.478787,1890.0,314.0,14.0,71.368965,900.0,93.0,99.0,842.0
-124.45833333333333,42.958333333333336,true,11.643778,9.675111,54.901516,303.88153,21.22,3.5973334,17.622665,8.657778,15.163555,15.657333,8.284667,1817.0,302.0,13.0,71.9683,869.0,86.0,91.0,815.0
-124.45833333333333,50.375,false,4.4239583,8.993417,35.408546,595.1428,19.206,-6.193,25.398998,-2.0031667,12.018833,12.018833,-2.2728333,1273.0,183.0,55.0,41.91181,493.0,169.0,169.0,426.0
-124.45833333333333,50.791666666666664,false,1.9002917,10.565917,37.130714,648.3153,17.757,-10.699,28.456001,-2.2786667,9.903334,9.903334,-5.651,991.0,136.0,49.0,36.68998,369.0,154.0,154.0,317.0
-124.375,47.708333333333336,true,9.505208,9.498091,48.796783,388.4855,20.847918,1.3833333,19.464584,5.393403,14.103126,14.508507,5.038542,3053.0,466.0,70.0,58.061405,1318.0,237.0,284.0,1257.0
-124.375,47.958333333333336,true,9.3967085,9.791083,46.073517,437.69727,21.864,0.613,21.251,4.6713333,14.7161665,14.997,4.3813334,2984.0,455.0,66.0,58.932438,1296.0,231.0,254.0,1227.0
-124.375,49.875,false,7.5486665,7.7356668,35.275967,529.9448,20.563,-1.366,21.928999,1.9935,14.2885,14.316333,1.7208333,1438.0,218.0,49.0,47.836063,592.0,165.0,178.0,513.0
-124.29166666666667,42.041666666666664,true,12.049888,9.067342,52.941715,314.77707,21.124325,3.9972973,17.127028,8.784684,15.632433,16.080631,8.485585,2002.0,335.0,12.0,72.810425,954.0,83.0,94.0,912.0
-124.29166666666667,48.791666666666664,true,7.179875,8.54525,38.505993,505.85687,20.566,-1.626,22.192,1.933,13.747,13.747,1.5403334,2414.0,393.0,45.0,64.95036,1136.0,180.0,180.0,1017.0
-124.20833333333333,40.125,true,11.66125,9.905,54.936214,321.0407,22.065,4.035,18.03,8.891666,15.38,16.035833,8.415833,1966.0,351.0,4.0,86.253136,1021.0,34.0,57.0,981.0
-124.20833333333333,42.291666666666664,true,10.963083,11.112333,52.258904,385.14642,23.927,2.663,21.264,7.502333,15.468667,16.267834,7.144,2091.0,370.0,12.0,77.04765,1040.0,76.0,90.0,979.0
-124.20833333333333,47.291666666666664,true,9.7606325,8.733142,47.36804,377.9224,20.372414,1.9356322,18.43678,5.795019,14.2159,14.626436,5.3944445,3038.0,474.0,65.0,59.521378,1334.0,226.0,279.0,1273.0
-124.20833333333333,47.791666666666664,true,9.18525,9.770833,45.96093,439.443,21.717,0.458,21.258999,4.4305,14.486,14.795333,4.1115003,3241.0,521.0,67.0,60.191822,1429.0,239.0,289.0,1362.0
-124.125,40.791666666666664,true,11.978886,9.126689,56.3658,271.895,20.482433,4.2905407,16.191893,9.168919,15.086262,15.427703,8.8009,1079.0,183.0,4.0,77.967995,527.0,32.0,42.0,503.0
-124.125,43.958333333333336,true,11.285959,9.2436075,50.53421,352.4727,21.579453,3.2876713,18.29178,7.6511416,15.251826,15.792694,7.1269407,1921.0,314.0,21.0,67.698395,900.0,111.0,116.0,845.0
-124.125,47.041666666666664,true,10.233267,8.084524,45.765568,373.51477,20.24127,2.5761905,17.66508,6.339418,14.65291,15.034657,5.928307,2649.0,416.0,53.0,60.880165,1180.0,192.0,230.0,1124.0
-124.04166666666667,40.458333333333336,true,11.72825,10.889667,52.49297,367.37848,23.771,3.026,20.744999,8.0285,15.9915,16.562666,7.5785,1542.0,276.0,3.0,84.36866,793.0,31.0,48.0,757.0
-124.04166666666667,41.208333333333336,true,11.118167,11.313,58.668255,317.3099,22.311,3.0279999,19.283,8.060333,14.758167,15.300167,7.6735,1623.0,283.0,7.0,77.90203,804.0,53.0,66.0,756.0
-124.04166666666667,43.291666666666664,true,11.405875,11.309417,52.114727,388.08453,24.257,2.556,21.701,7.526167,15.946667,16.547167,7.071833,1622.0,272.0,13.0,71.23233,779.0,76.0,83.0,727.0
-124.04166666666667,46.208333333333336,true,10.4152775,8.1472225,49.67818,320.44827,19.45,3.05,16.400002,7.3083334,14.141666,14.63611,6.8305554,1971.0,306.0,38.0,60.56668,884.0,149.0,163.0,824.0
-124.04166666666667,46.791666666666664,true,10.102542,8.482083,46.100784,384.66376,20.338,1.939,18.399,6.1064997,14.6445,15.081166,5.6595,2402.0,377.0,47.0,61.60902,1077.0,175.0,197.0,1024.0
-124.04166666666667,47.041666666666664,true,10.195518,8.16856,44.449257,398.9365,20.739393,2.3621213,18.377272,5.9719696,14.9702015,15.311869,5.578788,2601.0,410.0,51.0,61.15157,1161.0,187.0,222.0,1105.0
-123.95833333333333,44.208333333333336,true,9.813,9.120833,47.046127,385.38376,21.29,1.903,19.387001,6.0393333,14.277667,14.9665,5.5481668,2432.0,410.0,26.0,69.39829,1160.0,135.0,142.0,1089.0
-123.95833333333333,45.125,true,10.077003,8.942749,50.137733,342.92642,20.381819,2.5454545,17.836365,6.5564938,14.100216,14.547186,6.1909094,2504.0,402.0,42.0,63.14905,1154.0,182.0,193.0,1075.0
-123.95833333333333,46.208333333333336,true,10.591892,8.318919,48.06371,352.18417,20.14865,2.8405404,17.30811,7.053153,14.771622,15.214865,6.623423,1884.0,297.0,36.0,61.88719,859.0,142.0,150.0,797.0
-123.95833333333333,47.375,true,9.635417,9.304334,45.263344,438.1617,21.69,1.1340001,20.556,4.896167,14.9215,15.184167,4.514167,3204.0,518.0,66.0,60.759785,1427.0,236.0,286.0,1362.0
-123.95833333333333,49.541666666666664,true,9.398465,6.24693,31.68068,503.82065,21.093422,1.375,19.718422,4.181579,15.770615,15.890351,3.8149123,1299.0,206.0,40.0,52.266712,562.0,138.0,148.0,479.0
-123.875,40.291666666666664,true,12.123709,12.164583,50.126022,446.70282,26.851,2.583,24.268,7.4813333,17.4405,17.986334,7.044667,1594.0,290.0,3.0,86.63563,835.0,29.0,48.0,804.0
-123.875,41.625,true,10.569375,13.120417,53.618378,438.03003,25.647,1.177,24.47,6.3378334,15.905167,16.475,5.956333,1796.0,323.0,9.0,79.67685,913.0,59.0,73.0,861.0
-123.875,43.541666666666664,true,10.585042,10.90575,48.238457,425.53433,24.335,1.727,22.608,6.21,15.6545,16.212334,5.7638335,1784.0,299.0,17.0,70.34241,857.0,92.0,98.0,797.0
-123.875,45.791666666666664,true,9.51325,9.365167,50.33412,359.40985,20.143,1.537,18.605999,5.949,13.774167,14.3245,5.6556664,2436.0,384.0,41.0,62.44637,1109.0,172.0,183.0,1033.0
-123.875,46.791666666666664,true,9.919667,9.057,46.00498,413.30463,21.08,1.393,19.687,5.5473332,14.858833,15.235666,5.1505003,2338.0,366.0,44.0,61.800404,1050.0,168.0,187.0,996.0
-123.875,47.208333333333336,true,9.8005,9.010166,45.028316,428.87524,21.496,1.486,20.01,5.2131667,14.991333,15.257667,4.825333,2853.0,457.0,57.0,61.290455,1277.0,207.0,246.0,1216.0
-123.875,47.375,true,9.014,9.1785,45.27004,426.7005,21.1,0.825,20.275,4.5628333,14.206,14.544834,4.205333,3187.0,518.0,64.0,61.29413,1430.0,235.0,278.0,1359.0
-123.875,47.458333333333336,true,9.485625,9.204416,44.495876,440.362,21.761,1.075,20.685999,4.811,14.800333,15.134333,4.4023333,3305.0,541.0,67.0,61.155727,1478.0,243.0,294.0,1408.0
-123.875,47.541666666666664,true,7.820083,8.915833,44.00056,427.00378,20.045,-0.21800001,20.263,3.5513332,13.036833,13.495334,3.2406666,3127.0,507.0,61.0,61.732754,1411.0,231.0,263.0,1331.0
-123.875,49.541666666666664,true,8.465699,6.7829123,32.82536,517.679,20.732323,0.06868687,20.663635,3.0565658,15.041583,15.073737,2.71734,1467.0,233.0,43.0,53.681545,640.0,148.0,161.0,547.0
-123.875,50.291666666666664,false,2.7205832,9.198167,35.0727,612.9999,17.664999,-8.561,26.225998,-3.9601667,10.474667,10.474667,-4.2603335,1354.0,192.0,61.0,40.589825,524.0,188.0,188.0,455.0
-123.79166666666667,39.208333333333336,true,11.586413,10.007608,62.411877,227.35825,20.1,4.0652175,16.034782,8.769566,13.952899,14.338406,8.769566,1123.0,207.0,4.0,84.646904,565.0,23.0,36.0,565.0
-123.79166666666667,41.875,true,11.135709,13.72025,51.62064,489.95038,27.596,1.017,26.579,6.0386667,17.213501,17.5675,5.6956663,1753.0,320.0,8.0,81.56088,908.0,54.0,68.0,859.0
-123.79166666666667,46.458333333333336,true,9.470917,9.709167,48.555546,399.1333,20.924,0.928,19.996,5.3511667,14.23,14.713833,5.011,2495.0,391.0,46.0,61.510178,1126.0,183.0,202.0,1058.0
-123.79166666666667,46.958333333333336,true,10.229296,9.015464,44.795616,432.6938,21.8567,1.7309278,20.125772,5.591237,15.454811,15.742439,5.200859,2267.0,360.0,41.0,62.918762,1030.0,159.0,181.0,978.0
-123.79166666666667,47.958333333333336,true,5.183625,8.174417,39.38529,459.3387,17.778,-2.977,20.755,0.7289999,10.816167,11.4135,0.47749996,2724.0,435.0,55.0,62.38787,1255.0,216.0,222.0,1157.0
-123.70833333333333,39.458333333333336,false,11.775541,11.564917,58.547646,314.03525,22.482,2.729,19.753,7.9096665,15.283667,15.633834,7.9096665,1190.0,221.0,3.0,84.55086,604.0,23.0,35.0,604.0
-123.70833333333333,45.041666666666664,true,9.236167,9.987667,46.228497,430.1977,22.285,0.68,21.605,4.729,14.421833,14.891833,4.3651667,2596.0,445.0,32.0,69.34372,1248.0,154.0,168.0,1178.0
-123.70833333333333,47.125,true,9.853209,9.415916,45.375725,438.5395,22.053,1.302,20.751,5.1410003,15.1675,15.4335,4.7461667,2457.0,395.0,47.0,62.452972,1114.0,176.0,206.0,1058.0
-123.625,42.125,true,11.933084,15.227333,49.15849,585.02045,31.265,0.289,30.976,5.5113335,19.316833,19.433666,5.265,1457.0,273.0,7.0,83.827515,774.0,41.0,55.0,729.0
